OPERATION,VALUE_A,VALUE_B,RESULT

division,5,1,5.0
addition,5,6,11.0
addition,5,6,11.0
addition,5,6,11.0
addition,5,6,11.0
addition,5,6,11.0
addition,5,3,8.0
addition,5,3,8.0
addition,5,2,7.0
addition,5,2,7.0
addition,5,2,7.0
addition,5,6,11.0
multiplication,6,7,42.0
addition,5,6,11.0
division,5,6,0.8333333333333334
division,5,6,0.8333333333333334
subtraction,1,3,-4.0
subtraction,1,3,-4.0
multiplication,1,15,15.0
multiplication,1,15,15.0
multiplication,15,12,180.0
multiplication,1,3,3.0
multiplication,1,3,3.0
multiplication,1,3,3.0
multiplication,1,3,3.0
division,5,2,2.5
division,5,2,2.5
division,5,2,2.5
division,5,2,2.5
subtraction,1,3,-4.0
addition,5,6,11.0
addition,5,6,11.0
addition,5,3,8.0
addition,5,3,8.0
multiplication,5,2,10.0
subtraction,15,13,-28.0
subtraction,25,15,10.0
